# 句子关例句。一行一句，格式： 单词 | 英文句子（句子里的那个词会被挖空） | 中文意思
# 三道关由 _sent_work.py check 跑：词必现 / 不超纲 / 空缺唯一。改完就跑一遍。
# --- 三年级 ---
ah | Ah, I see it now. | 啊，我现在看见了。
bye | Bye! See you on Monday. | 再见！周一见。
cat | The cat is on the chair. | 猫在椅子上。
class | Our class has twenty students. | 我们班有二十个学生。
goodbye | Goodbye! It is time to go home. | 再见！该回家了。
guess | Guess what! I have a new pen. | 猜猜看！我有一支新钢笔。
hello | Hello! My name is Tom. | 你好！我叫汤姆。
hi | Hi! I am Amy. | 嗨！我是艾米。
long | The ruler is long. | 尺子很长。
Miss | Miss Li is kind. | 李老师很和蔼。
pen | This is my pen. | 这是我的钢笔。
pencil | My pencil is in the pencil case. | 我的铅笔在铅笔盒里。
pencil case | My pencil case is blue. | 我的铅笔盒是蓝色的。
put | Put the book on the desk. | 把书放在桌子上。
rubber | Can I use your rubber? | 我能用一下你的橡皮吗？
ruler | I have a new ruler. | 我有一把新尺子。
school | I go to school every day. | 我每天去上学。
schoolbag | My schoolbag is heavy. | 我的书包很重。
blackboard | Clean the blackboard, please. | 请擦黑板。
boy | The boy is my friend. | 那个男孩是我的朋友。
chair | Sit on the chair, please. | 请坐在椅子上。
classroom | Our classroom is big. | 我们的教室很大。
close | Close the window, please. | 请关上窗户。
desk | My desk is tidy. | 我的书桌很整洁。
dirty | My hands are dirty. | 我的手很脏。
floor | The floor is dirty. | 地板很脏。
girl | The girl is my sister. | 那个女孩是我妹妹。
keep | Keep your desk tidy. | 保持你的书桌整洁。
let | Let me help you. | 让我来帮你。
Mr | Mr Green is our teacher. | 格林先生是我们的老师。
name | My name is Ben. | 我叫本。
put away | Put away your books, please. | 请把你的书收好。
sweep | I sweep the floor after class. | 下课后我扫地。
window | Open the window, please. | 请打开窗户。
eat | I eat an apple every day. | 我每天吃一个苹果。
excuse me | Excuse me, where is the library? | 打扰一下，图书馆在哪里？
follow | Follow me, please. | 请跟我来。
fun | Playing ball is fun. | 玩球很好玩。
ha | Ha! That is a big fish. | 哈！那是条大鱼。
late | Do not be late for school. | 上学不要迟到。
library | The library is quiet. | 图书馆很安静。
look at | Look at the blackboard, please. | 请看黑板。
look out of | Look out of the window. | 往窗外看。
Mrs | Mrs Brown is my teacher. | 布朗太太是我的老师。
oh | Oh, the bus is late. | 哦，公交车晚了。
quiet | Please be quiet in the library. | 在图书馆请保持安静。
right | You are right. | 你是对的。
rule | Follow the rule, please. | 请遵守规则。
run | I can run fast. | 我跑得快。
shh | Shh! Be quiet. | 嘘！安静。
shout | Do not shout in the library. | 不要在图书馆大喊。
sit down | Sit down, please. | 请坐下。
sorry | I am sorry. | 对不起。
sweet | I have a sweet for you. | 我有一颗糖给你。
talk | Do not talk in class. | 上课不要讲话。
twin | She is my twin. | 她是我的双胞胎姐妹。
after class | We play after class. | 下课后我们玩。
Art Club | I am in the Art Club. | 我参加了美术社团。
beautiful | The flower is beautiful. | 这朵花很美。
behind | The cat is behind the door. | 猫在门后面。
break time | We play ball at break time. | 课间休息时我们玩球。
butterfly | The butterfly is on the flower. | 蝴蝶在花上。
duck | The duck can swim. | 鸭子会游泳。
far | The school is far. | 学校很远。
find | I can not find my pen. | 我找不到我的钢笔。
flower | I like the red flower. | 我喜欢那朵红花。
friend | She is my good friend. | 她是我的好朋友。
garden | The garden is big. | 花园很大。
go | Let us go to the zoo. | 我们去动物园吧。
good | This book is good. | 这本书很好。
have fun | We have fun together. | 我们一起玩得很开心。
many | There are many books here. | 这里有很多书。
nice | The dress is nice. | 这条连衣裙很漂亮。
outside | The dog is outside. | 狗在外面。
plane | The plane is in the sky. | 飞机在天上。
play | I play with my sister. | 我和妹妹一起玩。
ready | Are you ready? | 你准备好了吗？
student | I am a student. | 我是一名学生。
tree | The bird is in the tree. | 鸟在树上。
apple | This apple is sweet. | 这个苹果很甜。
baby | The baby is small. | 宝宝很小。
banana | The banana is yellow. | 香蕉是黄色的。
brother | My brother is ten. | 我哥哥十岁。
come | Come here, please. | 请过来。
dad | My dad is a doctor. | 我爸爸是医生。
family | There are four people in my family. | 我家有四口人。
father | My father is a worker. | 我爸爸是工人。
fruit | Fruit is good for you. | 水果对你有好处。
grape | I have a grape. | 我有一颗葡萄。
great | That is great! | 太棒了！
like | I like this book. | 我喜欢这本书。
look | Look! The bus is here. | 看！公交车来了。
make | Let us make a cake. | 我们做个蛋糕吧。
mango | I have a big mango. | 我有一个大芒果。
meet | Nice to meet you. | 很高兴认识你。
mother | My mother is a nurse. | 我妈妈是护士。
mum | My mum is a teacher. | 我妈妈是老师。
orange | This orange is big. | 这个橙子很大。
pond | The fish is in the pond. | 鱼在池塘里。
quick | Be quick! The bus is here. | 快点！公交车来了。
salad | I want a salad. | 我想要一份沙拉。
say | Say it again, please. | 请再说一遍。
share | Let us share the cake. | 我们分享蛋糕吧。
sister | My sister is six. | 我妹妹六岁。
together | We do our homework together. | 我们一起做作业。
aunt | My aunt is a driver. | 我姑姑是司机。
big | The elephant is big. | 大象很大。
carrot | The rabbit eats the carrot. | 兔子吃胡萝卜。
chicken | The chicken is on the farm. | 鸡在农场里。
cool | Your schoolbag is cool. | 你的书包真酷。
cousin | My cousin is five. | 我表弟五岁。
cow | We have a cow on the farm. | 我们农场里有一头奶牛。
cute | The panda is cute. | 熊猫很可爱。
farm | There are many cows on the farm. | 农场里有很多奶牛。
grandfather | My grandfather likes tea. | 我爷爷喜欢喝茶。
grandmother | My grandmother is kind. | 我奶奶很和蔼。
happy | I am happy today. | 我今天很开心。
help | Can you help me? | 你能帮我吗？
home | I am at home. | 我在家。
love | I love my family. | 我爱我的家人。
move | Move the chair, please. | 请把椅子搬一下。
pig | The pig is pink. | 猪是粉色的。
rabbit | The rabbit is white. | 兔子是白色的。
sheep | I can see ten sheep. | 我能看见十只羊。
uncle | My uncle is a farmer. | 我叔叔是农民。
wow | Wow! The garden is beautiful. | 哇！花园真美。
animal | The panda is my favourite animal. | 熊猫是我最喜欢的动物。
ball | The ball is under the desk. | 球在书桌下面。
bear | The bear is behind the tree. | 熊在树后面。
book | This book is interesting. | 这本书很有趣。
cake | My mother makes a cake. | 我妈妈做了一个蛋糕。
car | My father has a new car. | 我爸爸有一辆新车。
eight | I have eight books. | 我有八本书。
elephant | The elephant has a long nose. | 大象有长鼻子。
feed | I feed the rabbit. | 我喂兔子。
fish | We eat fish for lunch. | 我们午饭吃鱼。
five | I have five apples. | 我有五个苹果。
four | The cat has four legs. | 猫有四条腿。
high five | Give me a high five! | 给我击个掌！
lion | The lion is strong. | 狮子很强壮。
lunchtime | It is lunchtime. | 到午饭时间了。
monkey | The monkey is in the tree. | 猴子在树上。
nine | It is nine o'clock. | 九点了。
now | We go home now. | 我们现在回家。
OK | OK, I can do it. | 好的，我能做到。
one | I have one brother. | 我有一个哥哥。
panda | The panda is black and white. | 熊猫是黑白相间的。
please | Come in, please. | 请进。
see | I can see a bird. | 我能看见一只鸟。
seven | There are seven days in a week. | 一周有七天。
six | My sister is six. | 我妹妹六岁。
some | I want some water. | 我想要一些水。
ten | There are ten books. | 有十本书。
thanks | Thanks for your help. | 谢谢你的帮助。
three | The cat has three toys. | 猫有三个玩具。
tiger | The tiger has a long tail. | 老虎有长尾巴。
toy | This toy is for my brother. | 这个玩具是给我弟弟的。
two | I have two hands. | 我有两只手。
want | I want a new schoolbag. | 我想要一个新书包。
zoo | We go to the zoo on Sunday. | 我们周日去动物园。
balloon | I have a red balloon. | 我有一个红气球。
black | The cat is black. | 这只猫是黑色的。
blue | The sky is blue. | 天空是蓝色的。
brown | The bear is brown. | 熊是棕色的。
buy | I want to buy a book. | 我想买一本书。
chameleon | The chameleon is on the tree. | 变色龙在树上。
child | The child is happy. | 这个孩子很开心。
clean | I clean my room every day. | 我每天打扫我的房间。
colour | What colour is your bag? | 你的包是什么颜色的？
dance | I can dance well. | 我跳舞跳得好。
dizzy | I feel dizzy. | 我觉得头晕。
draw | I can draw a cat. | 我会画猫。
er | Er, I am not sure. | 呃，我不确定。
fox | The fox is in the forest. | 狐狸在森林里。
green | The tree is green. | 树是绿色的。
little | The little dog is cute. | 小狗很可爱。
picture | This picture is nice. | 这幅画很好看。
pink | Her dress is pink. | 她的连衣裙是粉色的。
red | My pen is red. | 我有一支红钢笔。
sing | She can sing well. | 她唱歌唱得好。
sure | I am not sure. | 我不确定。
table | The book is on the table. | 书在桌子上。
take pictures | Let us take pictures in the park. | 我们在公园拍照吧。
thing | What is this thing? | 这是什么东西？
white | My shirt is white. | 我的衬衫是白色的。
yellow | My cap is yellow. | 我的帽子是黄色的。
# --- 四年级 ---
all | We are all here. | 我们都到了。
angry | Do not be angry. | 别生气。
Art | I like my Art lesson. | 我喜欢我的美术课。
be good at | I want to be good at English. | 我想把英语学好。
become | I want to become a doctor. | 我想成为一名医生。
best | This is the best cake. | 这是最好的蛋糕。
Chinese | Chinese is my favourite subject. | 语文是我最喜欢的科目。
culture | I like Chinese culture. | 我喜欢中国文化。
English | We have an English lesson today. | 我们今天有英语课。
forest | The fox lives in the forest. | 狐狸住在森林里。
friendship | Our friendship is important. | 我们的友谊很重要。
hole | The mouse is in the hole. | 老鼠在洞里。
interesting | This story is interesting. | 这个故事很有趣。
kind | My teacher is kind. | 我的老师很和蔼。
Labour | I help my mum on Labour Day. | 劳动节我帮妈妈干活。
learn about | I learn about animals. | 我学习关于动物的知识。
Maths | I am good at Maths. | 我擅长数学。
